Ref,Val,Package,PosX,PosY,Rot,Side
"J1","Conn_ARM_JTAG_SWD_20","IDC-Header_2x10_P2.54mm_Horizontal",154.527500,-93.970000,0.000000,top
"J2","Conn_02x03_Counter_Clockwise","IDC-Header_2x03_P2.54mm_Vertical",143.635000,-103.010000,0.000000,top
