"Reference","Qty","Value","DNP","Footprint","LCSC"
"J1","1","Conn_ARM_JTAG_SWD_20","","Connector_IDC:IDC-Header_2x10_P2.54mm_Horizontal","C9144"
"J2","1","Conn_02x03_Counter_Clockwise","","Connector_IDC:IDC-Header_2x03_P2.54mm_Vertical","C11214"
