Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J1,Conn_ARM_JTAG_SWD_20,IDC-Header_2x10_P2.54mm_Horizontal,154.5,-94,0,top
J2,Conn_02x03_Counter_Clockwise,IDC-Header_2x03_P2.54mm_Vertical,143.6,-103,0,top
